GO biological process complete 	num_total 	num_seen 	expected 	Fold Enrichment 	+/- 	raw P value 	FDR
negative regulation of cellular biosynthetic process 	366 	22 	42.03 	.52 	- 	1.37E-03 	4.99E-02
negative regulation of biosynthetic process 	366 	22 	42.03 	.52 	- 	1.37E-03 	4.95E-02
negative regulation of macromolecule biosynthetic process 	341 	20 	39.16 	.51 	- 	1.31E-03 	4.78E-02
protein folding 	118 	28 	13.55 	2.07 	+ 	1.28E-03 	4.72E-02
phosphorus metabolic process 	709 	112 	81.42 	1.38 	+ 	1.14E-03 	4.22E-02
mitochondrial transport 	104 	26 	11.94 	2.18 	+ 	1.08E-03 	4.05E-02
very long-chain fatty acid biosynthetic process 	7 	6 	.80 	7.46 	+ 	1.06E-03 	4.03E-02
Arp2/3 complex-mediated actin nucleation 	7 	6 	.80 	7.46 	+ 	1.06E-03 	4.00E-02
nucleoside triphosphate metabolic process 	41 	14 	4.71 	2.97 	+ 	1.04E-03 	3.97E-02
negative regulation of cellular macromolecule biosynthetic process 	336 	19 	38.58 	.49 	- 	8.66E-04 	3.33E-02
positive regulation of transcription by RNA polymerase II 	317 	17 	36.40 	.47 	- 	8.12E-04 	3.15E-02
response to oxidative stress 	128 	30 	14.70 	2.04 	+ 	8.02E-04 	3.13E-02
phosphate-containing compound metabolic process 	691 	111 	79.35 	1.40 	+ 	6.52E-04 	2.57E-02
establishment of localization 	1326 	193 	152.27 	1.27 	+ 	6.45E-04 	2.56E-02
DNA metabolic process 	480 	31 	55.12 	.56 	- 	6.31E-04 	2.52E-02
nuclear chromosome segregation 	149 	4 	17.11 	.23 	- 	6.19E-04 	2.49E-02
transposition 	97 	1 	11.14 	.09 	- 	5.82E-04 	2.36E-02
organophosphate biosynthetic process 	246 	49 	28.25 	1.73 	+ 	5.74E-04 	2.34E-02
reproductive process 	404 	24 	46.39 	.52 	- 	5.27E-04 	2.17E-02
regulation of transcription by RNA polymerase II 	486 	31 	55.81 	.56 	- 	5.02E-04 	2.08E-02
establishment of protein localization to membrane 	106 	27 	12.17 	2.22 	+ 	4.56E-04 	1.90E-02
proton transmembrane transport 	98 	26 	11.25 	2.31 	+ 	4.42E-04 	1.86E-02
macromolecule localization 	926 	143 	106.34 	1.34 	+ 	4.39E-04 	1.86E-02
ribonucleoside triphosphate metabolic process 	32 	13 	3.67 	3.54 	+ 	4.21E-04 	1.83E-02
double-strand break repair via homologous recombination 	76 	0 	8.73 	< 0.01 	- 	4.28E-04 	1.83E-02
cellular oxidant detoxification 	32 	13 	3.67 	3.54 	+ 	4.21E-04 	1.82E-02
positive regulation of RNA metabolic process 	388 	22 	44.56 	.49 	- 	3.94E-04 	1.74E-02
cellular protein-containing complex assembly 	481 	84 	55.24 	1.52 	+ 	3.74E-04 	1.74E-02
reactive oxygen species metabolic process 	23 	11 	2.64 	4.16 	+ 	3.97E-04 	1.74E-02
mitotic cell cycle process 	314 	16 	36.06 	.44 	- 	3.83E-04 	1.74E-02
Ras protein signal transduction 	41 	15 	4.71 	3.19 	+ 	3.85E-04 	1.73E-02
reproduction 	424 	25 	48.69 	.51 	- 	3.75E-04 	1.73E-02
meiosis I cell cycle process 	98 	1 	11.25 	.09 	- 	3.77E-04 	1.73E-02
protein targeting to ER 	41 	15 	4.71 	3.19 	+ 	3.85E-04 	1.72E-02
cellular detoxification 	36 	14 	4.13 	3.39 	+ 	3.65E-04 	1.71E-02
regulation of transcription, DNA-templated 	646 	45 	74.18 	.61 	- 	3.44E-04 	1.66E-02
double-strand break repair 	135 	3 	15.50 	.19 	- 	3.47E-04 	1.66E-02
mitochondrion organization 	272 	54 	31.24 	1.73 	+ 	3.49E-04 	1.66E-02
negative regulation of RNA metabolic process 	290 	14 	33.30 	.42 	- 	3.30E-04 	1.62E-02
transport 	1285 	190 	147.56 	1.29 	+ 	3.26E-04 	1.62E-02
endoplasmic reticulum to Golgi vesicle-mediated transport 	92 	25 	10.56 	2.37 	+ 	3.22E-04 	1.61E-02
ribonucleoside triphosphate biosynthetic process 	31 	13 	3.56 	3.65 	+ 	3.30E-04 	1.61E-02
chromosome organization 	560 	37 	64.31 	.58 	- 	3.09E-04 	1.56E-02
nucleoside triphosphate biosynthetic process 	35 	14 	4.02 	3.48 	+ 	2.89E-04 	1.49E-02
intracellular protein transport 	504 	88 	57.88 	1.52 	+ 	2.86E-04 	1.49E-02
negative regulation of nucleobase-containing compound metabolic process 	318 	16 	36.52 	.44 	- 	2.91E-04 	1.48E-02
regulation of RNA biosynthetic process 	650 	45 	74.64 	.60 	- 	2.77E-04 	1.47E-02
regulation of nucleic acid-templated transcription 	650 	45 	74.64 	.60 	- 	2.77E-04 	1.46E-02
negative regulation of RNA biosynthetic process 	281 	13 	32.27 	.40 	- 	2.60E-04 	1.41E-02
negative regulation of nucleic acid-templated transcription 	281 	13 	32.27 	.40 	- 	2.60E-04 	1.39E-02
