GO biological process complete 	num_total 	num_seen 	expected 	Fold Enrichment 	+/- 	raw P value 	FDR
trehalose metabolism in response to stress 	5 	5 	.59 	8.54 	+ 	2.01E-03 	4.81E-02
cellular macromolecule localization 	714 	113 	83.65 	1.35 	+ 	1.97E-03 	4.74E-02
response to stimulus 	1204 	177 	141.06 	1.25 	+ 	1.90E-03 	4.60E-02
regulation of DNA-templated transcription, initiation 	24 	10 	2.81 	3.56 	+ 	1.90E-03 	4.59E-02
cellular response to stimulus 	1045 	157 	122.43 	1.28 	+ 	1.80E-03 	4.41E-02
protein-containing complex localization 	158 	34 	18.51 	1.84 	+ 	1.80E-03 	4.39E-02
organophosphate biosynthetic process 	246 	48 	28.82 	1.67 	+ 	1.71E-03 	4.20E-02
mRNA-containing ribonucleoprotein complex export from nucleus 	63 	18 	7.38 	2.44 	+ 	1.61E-03 	4.00E-02
mRNA export from nucleus 	63 	18 	7.38 	2.44 	+ 	1.61E-03 	3.98E-02
lysine biosynthetic process via aminoadipic acid 	11 	7 	1.29 	5.43 	+ 	1.53E-03 	3.81E-02
regulation of transcription initiation from RNA polymerase II promoter 	23 	10 	2.69 	3.71 	+ 	1.48E-03 	3.76E-02
nucleobase metabolic process 	37 	13 	4.33 	3.00 	+ 	1.49E-03 	3.75E-02
nucleobase biosynthetic process 	23 	10 	2.69 	3.71 	+ 	1.48E-03 	3.74E-02
poly(A)+ mRNA export from nucleus 	37 	13 	4.33 	3.00 	+ 	1.49E-03 	3.73E-02
actin filament-based process 	118 	28 	13.82 	2.03 	+ 	1.44E-03 	3.68E-02
protein localization to nucleus 	71 	20 	8.32 	2.40 	+ 	1.43E-03 	3.66E-02
cellular macromolecule metabolic process 	2014 	279 	235.96 	1.18 	+ 	1.41E-03 	3.64E-02
rRNA metabolic process 	297 	56 	34.80 	1.61 	+ 	1.26E-03 	3.30E-02
cellular response to environmental stimulus 	86 	23 	10.08 	2.28 	+ 	1.26E-03 	3.28E-02
cellular response to abiotic stimulus 	86 	23 	10.08 	2.28 	+ 	1.26E-03 	3.27E-02
steroid biosynthetic process 	36 	13 	4.22 	3.08 	+ 	1.22E-03 	3.20E-02
SRP-dependent cotranslational protein targeting to membrane, translocation 	14 	8 	1.64 	4.88 	+ 	1.18E-03 	3.13E-02
glycogen biosynthetic process 	14 	8 	1.64 	4.88 	+ 	1.18E-03 	3.11E-02
amide transport 	693 	112 	81.19 	1.38 	+ 	1.12E-03 	3.03E-02
cellular response to stress 	724 	116 	84.82 	1.37 	+ 	1.13E-03 	3.03E-02
alcohol metabolic process 	93 	24 	10.90 	2.20 	+ 	1.13E-03 	3.02E-02
hexose metabolic process 	53 	17 	6.21 	2.74 	+ 	1.11E-03 	3.00E-02
cellular macromolecule catabolic process 	402 	72 	47.10 	1.53 	+ 	1.03E-03 	2.86E-02
aminoacyl-tRNA metabolism involved in translational fidelity 	10 	7 	1.17 	5.97 	+ 	1.03E-03 	2.85E-02
chaperone-mediated protein folding 	26 	11 	3.05 	3.61 	+ 	1.03E-03 	2.84E-02
cellular lipid metabolic process 	287 	55 	33.62 	1.64 	+ 	1.04E-03 	2.84E-02
regulation of transport 	110 	27 	12.89 	2.10 	+ 	1.04E-03 	2.84E-02
regulation of cellular component organization 	466 	81 	54.60 	1.48 	+ 	1.01E-03 	2.82E-02
glutamine family amino acid metabolic process 	59 	18 	6.91 	2.60 	+ 	9.86E-04 	2.80E-02
secondary alcohol metabolic process 	35 	13 	4.10 	3.17 	+ 	9.86E-04 	2.79E-02
sterol biosynthetic process 	35 	13 	4.10 	3.17 	+ 	9.86E-04 	2.77E-02
rRNA processing 	280 	54 	32.80 	1.65 	+ 	9.39E-04 	2.68E-02
cellular component macromolecule biosynthetic process 	30 	12 	3.51 	3.41 	+ 	9.15E-04 	2.65E-02
cell wall macromolecule biosynthetic process 	30 	12 	3.51 	3.41 	+ 	9.15E-04 	2.64E-02
DNA recombination 	233 	11 	27.30 	.40 	- 	9.02E-04 	2.63E-02
cell wall macromolecule metabolic process 	30 	12 	3.51 	3.41 	+ 	9.15E-04 	2.63E-02
glucose 6-phosphate metabolic process 	21 	10 	2.46 	4.06 	+ 	8.61E-04 	2.52E-02
translational initiation 	49 	16 	5.74 	2.79 	+ 	8.48E-04 	2.50E-02
acetyl-CoA metabolic process 	13 	8 	1.52 	5.25 	+ 	8.24E-04 	2.44E-02
actin cytoskeleton organization 	114 	28 	13.36 	2.10 	+ 	7.97E-04 	2.43E-02
ergosterol biosynthetic process 	25 	11 	2.93 	3.76 	+ 	8.01E-04 	2.43E-02
phytosteroid biosynthetic process 	25 	11 	2.93 	3.76 	+ 	8.01E-04 	2.42E-02
macromolecule metabolic process 	2432 	332 	284.93 	1.17 	+ 	7.82E-04 	2.41E-02
protein import 	125 	30 	14.64 	2.05 	+ 	7.83E-04 	2.40E-02
cellular lipid biosynthetic process 	25 	11 	2.93 	3.76 	+ 	8.01E-04 	2.40E-02
cellular alcohol biosynthetic process 	25 	11 	2.93 	3.76 	+ 	8.01E-04 	2.39E-02
purine ribonucleotide biosynthetic process 	63 	19 	7.38 	2.57 	+ 	7.55E-04 	2.34E-02
oligosaccharide metabolic process 	29 	12 	3.40 	3.53 	+ 	7.21E-04 	2.29E-02
phytosteroid metabolic process 	29 	12 	3.40 	3.53 	+ 	7.21E-04 	2.28E-02
ergosterol metabolic process 	29 	12 	3.40 	3.53 	+ 	7.21E-04 	2.26E-02
cellular alcohol metabolic process 	29 	12 	3.40 	3.53 	+ 	7.21E-04 	2.25E-02
lipid biosynthetic process 	179 	39 	20.97 	1.86 	+ 	6.88E-04 	2.20E-02
'de novo' IMP biosynthetic process 	9 	7 	1.05 	6.64 	+ 	6.62E-04 	2.13E-02
establishment of organelle localization 	121 	30 	14.18 	2.12 	+ 	6.28E-04 	2.03E-02
nitrogen compound transport 	821 	131 	96.19 	1.36 	+ 	5.96E-04 	1.95E-02
cellular amide metabolic process 	487 	85 	57.06 	1.49 	+ 	6.00E-04 	1.95E-02
ribosome localization 	52 	17 	6.09 	2.79 	+ 	5.83E-04 	1.92E-02
ribonucleoside monophosphate metabolic process 	42 	15 	4.92 	3.05 	+ 	5.75E-04 	1.92E-02
regulation of cellular amide metabolic process 	151 	35 	17.69 	1.98 	+ 	5.69E-04 	1.91E-02
nucleoside monophosphate biosynthetic process 	42 	15 	4.92 	3.05 	+ 	5.75E-04 	1.91E-02
IMP biosynthetic process 	12 	8 	1.41 	5.69 	+ 	5.61E-04 	1.90E-02
endocytosis 	108 	28 	12.65 	2.21 	+ 	5.33E-04 	1.81E-02
ribosomal subunit export from nucleus 	51 	17 	5.98 	2.85 	+ 	4.86E-04 	1.67E-02
dicarboxylic acid metabolic process 	51 	17 	5.98 	2.85 	+ 	4.86E-04 	1.66E-02
regulation of nucleocytoplasmic transport 	23 	11 	2.69 	4.08 	+ 	4.64E-04 	1.61E-02
polysaccharide metabolic process 	65 	20 	7.62 	2.63 	+ 	4.57E-04 	1.60E-02
protein export from nucleus 	124 	31 	14.53 	2.13 	+ 	4.45E-04 	1.56E-02
oligosaccharide biosynthetic process 	8 	7 	.94 	7.47 	+ 	4.09E-04 	1.46E-02
ribonucleoprotein complex biogenesis 	478 	85 	56.00 	1.52 	+ 	4.05E-04 	1.45E-02
aspartate family amino acid biosynthetic process 	55 	18 	6.44 	2.79 	+ 	4.01E-04 	1.45E-02
disaccharide biosynthetic process 	8 	7 	.94 	7.47 	+ 	4.09E-04 	1.45E-02
regulation of translational fidelity 	31 	13 	3.63 	3.58 	+ 	3.94E-04 	1.43E-02
cellular response to osmotic stress 	63 	20 	7.38 	2.71 	+ 	3.67E-04 	1.35E-02
cellular component biogenesis 	1101 	169 	128.99 	1.31 	+ 	3.68E-04 	1.35E-02
response to stress 	773 	126 	90.56 	1.39 	+ 	3.49E-04 	1.31E-02
aspartate family amino acid metabolic process 	69 	21 	8.08 	2.60 	+ 	3.53E-04 	1.31E-02
glucose metabolic process 	35 	14 	4.10 	3.41 	+ 	3.49E-04 	1.31E-02
purine ribonucleoside monophosphate metabolic process 	26 	12 	3.05 	3.94 	+ 	3.32E-04 	1.28E-02
purine nucleoside monophosphate metabolic process 	26 	12 	3.05 	3.94 	+ 	3.32E-04 	1.27E-02
secondary alcohol biosynthetic process 	26 	12 	3.05 	3.94 	+ 	3.32E-04 	1.26E-02
regulation of translation 	147 	35 	17.22 	2.03 	+ 	3.19E-04 	1.24E-02
nuclear export 	127 	32 	14.88 	2.15 	+ 	3.14E-04 	1.23E-02
protein import into nucleus 	61 	20 	7.15 	2.80 	+ 	3.10E-04 	1.22E-02
response to abiotic stimulus 	193 	43 	22.61 	1.90 	+ 	3.03E-04 	1.22E-02
lysine biosynthetic process 	14 	9 	1.64 	5.49 	+ 	3.07E-04 	1.22E-02
ribonucleoside monophosphate biosynthetic process 	39 	15 	4.57 	3.28 	+ 	3.04E-04 	1.21E-02
regulation of cellular process 	1610 	235 	188.63 	1.25 	+ 	2.97E-04 	1.21E-02
macromolecule catabolic process 	432 	79 	50.61 	1.56 	+ 	2.92E-04 	1.19E-02
ribonucleoprotein complex localization 	123 	31 	14.41 	2.15 	+ 	2.82E-04 	1.16E-02
ribonucleoprotein complex export from nucleus 	122 	31 	14.29 	2.17 	+ 	2.58E-04 	1.07E-02
purine nucleoside bisphosphate metabolic process 	29 	13 	3.40 	3.83 	+ 	2.36E-04 	1.02E-02
translational elongation 	29 	13 	3.40 	3.83 	+ 	2.36E-04 	1.01E-02
cellular glucan metabolic process 	52 	18 	6.09 	2.95 	+ 	2.29E-04 	1.00E-02
trehalose biosynthetic process 	7 	7 	.82 	8.54 	+ 	2.40E-04 	1.00E-02
ribonucleoside bisphosphate metabolic process 	29 	13 	3.40 	3.83 	+ 	2.36E-04 	1.00E-02
glucan metabolic process 	52 	18 	6.09 	2.95 	+ 	2.29E-04 	9.96E-03
nucleoside bisphosphate metabolic process 	29 	13 	3.40 	3.83 	+ 	2.36E-04 	9.95E-03
ribonucleotide biosynthetic process 	77 	23 	9.02 	2.55 	+ 	2.18E-04 	9.67E-03
nucleoside diphosphate metabolic process 	33 	14 	3.87 	3.62 	+ 	2.16E-04 	9.62E-03
IMP metabolic process 	13 	9 	1.52 	5.91 	+ 	2.06E-04 	9.33E-03
organonitrogen compound catabolic process 	391 	74 	45.81 	1.62 	+ 	2.07E-04 	9.33E-03
intracellular protein transport 	504 	90 	59.05 	1.52 	+ 	1.94E-04 	8.90E-03
protein folding 	118 	31 	13.82 	2.24 	+ 	1.92E-04 	8.85E-03
glutamine metabolic process 	24 	12 	2.81 	4.27 	+ 	1.87E-04 	8.71E-03
RNA export from nucleus 	125 	32 	14.64 	2.19 	+ 	1.81E-04 	8.52E-03
intracellular transport 	664 	113 	77.79 	1.45 	+ 	1.78E-04 	8.43E-03
cellular localization 	929 	149 	108.84 	1.37 	+ 	1.75E-04 	8.37E-03
organelle localization 	200 	45 	23.43 	1.92 	+ 	1.67E-04 	8.06E-03
sulfur compound metabolic process 	134 	34 	15.70 	2.17 	+ 	1.64E-04 	7.98E-03
ribosome biogenesis 	394 	75 	46.16 	1.62 	+ 	1.60E-04 	7.89E-03
posttranscriptional regulation of gene expression 	162 	39 	18.98 	2.05 	+ 	1.45E-04 	7.17E-03
