GO biological process complete 	num_total 	num_seen 	expected 	Fold Enrichment 	+/- 	raw P value 	FDR
NADPH regeneration 	17 	8 	2.00 	3.99 	+ 	3.09E-03 	4.92E-02
GMP metabolic process 	9 	6 	1.06 	5.66 	+ 	2.91E-03 	4.67E-02
'de novo' IMP biosynthetic process 	9 	6 	1.06 	5.66 	+ 	2.91E-03 	4.66E-02
ethanol metabolic process 	9 	6 	1.06 	5.66 	+ 	2.91E-03 	4.64E-02
carboxylic acid catabolic process 	89 	22 	10.49 	2.10 	+ 	2.85E-03 	4.58E-02
nucleosome assembly 	21 	9 	2.47 	3.64 	+ 	2.84E-03 	4.58E-02
cellular response to topologically incorrect protein 	55 	16 	6.48 	2.47 	+ 	2.78E-03 	4.50E-02
serine family amino acid metabolic process 	40 	13 	4.71 	2.76 	+ 	2.75E-03 	4.46E-02
establishment of organelle localization 	121 	28 	14.26 	1.96 	+ 	2.60E-03 	4.24E-02
cellular component assembly 	750 	118 	88.37 	1.34 	+ 	2.47E-03 	4.04E-02
DNA biosynthetic process 	96 	2 	11.31 	.18 	- 	2.45E-03 	4.03E-02
negative regulation of transcription, DNA-templated 	276 	16 	32.52 	.49 	- 	2.46E-03 	4.02E-02
mitotic cell cycle process 	314 	19 	37.00 	.51 	- 	2.38E-03 	3.93E-02
formation of translation preinitiation complex 	12 	7 	1.41 	4.95 	+ 	2.27E-03 	3.76E-02
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly 	12 	7 	1.41 	4.95 	+ 	2.27E-03 	3.75E-02
negative regulation of RNA metabolic process 	290 	17 	34.17 	.50 	- 	2.23E-03 	3.72E-02
positive regulation of protein-containing complex assembly 	53 	16 	6.24 	2.56 	+ 	2.21E-03 	3.69E-02
chorismate metabolic process 	5 	5 	.59 	8.49 	+ 	2.06E-03 	3.44E-02
maturation of 5.8S rRNA 	92 	23 	10.84 	2.12 	+ 	2.01E-03 	3.38E-02
aromatic amino acid family biosynthetic process 	24 	10 	2.83 	3.54 	+ 	1.98E-03 	3.34E-02
glycosyl compound biosynthetic process 	24 	10 	2.83 	3.54 	+ 	1.98E-03 	3.33E-02
secondary metabolite biosynthetic process 	8 	6 	.94 	6.37 	+ 	1.92E-03 	3.25E-02
ribosomal large subunit assembly 	43 	14 	5.07 	2.76 	+ 	1.89E-03 	3.25E-02
negative regulation of RNA biosynthetic process 	281 	16 	33.11 	.48 	- 	1.90E-03 	3.25E-02
negative regulation of nucleic acid-templated transcription 	281 	16 	33.11 	.48 	- 	1.90E-03 	3.24E-02
methionine biosynthetic process 	38 	13 	4.48 	2.90 	+ 	1.90E-03 	3.23E-02
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) 	91 	23 	10.72 	2.15 	+ 	1.84E-03 	3.17E-02
cellular response to osmotic stress 	63 	18 	7.42 	2.42 	+ 	1.70E-03 	2.94E-02
response to topologically incorrect protein 	63 	18 	7.42 	2.42 	+ 	1.70E-03 	2.93E-02
Golgi vesicle transport 	197 	41 	23.21 	1.77 	+ 	1.66E-03 	2.89E-02
posttranslational protein targeting to endoplasmic reticulum membrane 	19 	9 	2.24 	4.02 	+ 	1.66E-03 	2.89E-02
positive regulation of nucleobase-containing compound metabolic process 	407 	27 	47.95 	.56 	- 	1.58E-03 	2.77E-02
lysine biosynthetic process via aminoadipic acid 	11 	7 	1.30 	5.40 	+ 	1.57E-03 	2.77E-02
positive regulation of transcription, DNA-templated 	365 	23 	43.01 	.53 	- 	1.55E-03 	2.73E-02
reactive oxygen species metabolic process 	23 	10 	2.71 	3.69 	+ 	1.54E-03 	2.72E-02
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum 	32 	12 	3.77 	3.18 	+ 	1.50E-03 	2.66E-02
establishment of protein localization to membrane 	106 	26 	12.49 	2.08 	+ 	1.42E-03 	2.53E-02
vacuolar acidification 	27 	11 	3.18 	3.46 	+ 	1.38E-03 	2.48E-02
intracellular pH reduction 	27 	11 	3.18 	3.46 	+ 	1.38E-03 	2.47E-02
pH reduction 	27 	11 	3.18 	3.46 	+ 	1.38E-03 	2.46E-02
catabolic process 	851 	133 	100.27 	1.33 	+ 	1.35E-03 	2.43E-02
chromosome organization 	560 	41 	65.98 	.62 	- 	1.33E-03 	2.41E-02
nuclear chromosome segregation 	149 	5 	17.56 	.28 	- 	1.26E-03 	2.30E-02
organelle localization 	200 	42 	23.56 	1.78 	+ 	1.24E-03 	2.27E-02
recombinational repair 	86 	1 	10.13 	.10 	- 	1.22E-03 	2.24E-02
valine metabolic process 	7 	6 	.82 	7.27 	+ 	1.20E-03 	2.21E-02
