273614N	378604X	BC187	DBVPG1106	DBVPG1373	DBVPG6765	L_1374	NCYC361	SK1	UWOPS05_217_3	UWOPS05_227_2	UWOPS83_787_3	UWOPS87_2421	Y12	Y55	YJM975	YJM978	YJM981	YPS128	YPS606	YS2	YS9
Q0010	3.95477435025853	4.21217215470836	4.22222529730853	4.07181443462214	4.36385253595681	3.91371646398595	4.21404231711595	4.05816675328173	5.57674164312798	4.03430805504378	4.18965897788513	3.88449018030883	4.28205021831982	4.24549048924107	4.41187728567803	4.67823668114262	4.90326711282697	4.67726840693576	4.11590281177577	4.67443902642276	4.42844602594995	6.90122797421908
Q0017	3.9118507841083	3.98828338227422	4.51156922670353	4.58306533893619	4.49465275675795	3.41084541468496	3.98061154637942	4.58407351911863	5.13639259445374	4.10488448775932	3.94463126233379	4.40921634162522	4.21881551768523	4.57264539690898	4.17382218082623	4.68034545252342	4.84630880532641	4.98107570442242	4.15405380286601	5.04455164165972	4.39038905422017	5.74783508616187
Q0032	5.32853772186187	5.34067881883598	5.54734801227662	5.26056020496575	5.018803547407	5.2148848340161	5.33455176920052	5.40288379738262	6.17738065209949	5.30462552814837	5.08924522992254	5.14837061542173	5.06674830456699	5.20152379718126	5.32745144995203	5.77559384189887	5.96117241264506	5.70927758217941	5.12753717636696	5.53901198933855	5.78716247235875	7.41866213649296
Q0045	6.81391183038698	7.3174236168617	6.26642645478408	5.55170773983582	8.19880504737846	5.32278079253597	6.98513004283291	8.03105779873298	6.4293919070087	6.73705565491514	6.50286618825862	6.40756060999453	6.84895812210865	8.08183533458515	5.96891795209728	8.19984342599458	8.25848341230019	7.71605812932098	7.5543954919015	7.32437071638604	7.55982769494941	7.5530355013721
Q0050	5.41603328932386	6.39655190542237	5.0293066706989	5.20987808013441	5.37586183666405	5.75590906573592	6.8613983108935	5.68185436958862	6.21173110149032	5.58040060764337	5.51155388177501	6.05650476081714	6.06531513697601	6.04715327144775	5.63111274986923	5.57535828344817	5.29734419462654	5.97604252569352	5.58081328422641	5.63921634385132	5.75721329811067	5.65101431322491
Q0055	4.92326561089259	6.35664505970639	5.40480191115197	5.28349381354776	7.75470836432666	5.19407230370364	6.55269175897133	7.42009626989675	5.47001832990578	5.10485507561848	5.00064103395369	6.28107984707614	6.36418546738687	7.70451703825915	5.58644115943349	7.60285788817242	7.68260182439186	7.03935136466258	7.0746119213328	6.79565279754027	7.09791430638768	5.55238111265006
Q0060	4.98876473847502	6.18131689238169	5.30798170187439	5.16295842191992	7.64366078108039	5.06385734900875	6.45246437328733	7.32523482797226	5.36315288797742	5.13791989738193	4.9152985595158	6.12681649465666	6.2523580597995	7.59389848800802	5.45521702402845	7.50362323927285	7.57494386543771	6.93776924765224	6.95807151401247	6.65516509614625	6.99005889361086	5.51976597049205
Q0065	6.28822138005219	6.98951173514109	5.85380011202066	5.37632754530159	7.91287823023045	5.24876032166073	6.6881405574956	7.74903666404433	5.91087200774121	6.14976474733465	5.92356719629601	6.34744596540748	6.57269942489389	7.76781523523491	5.81163654165537	7.82359608477675	7.86611073600539	7.34899507632724	7.21213010320919	6.86814163420478	7.23754945005635	6.83580407780084
Q0070	6.43483929745438	7.06208176035704	6.07276427999235	5.45579803649055	8.05615988886955	5.32848673772246	6.79960095270959	7.92792193704398	6.05809181172152	6.4900008326431	6.2579218910919	6.39943250536124	6.72209859631367	7.89411073227591	5.98935587715516	7.96799444254214	8.01362738995127	7.53953263793682	7.42091690055159	7.13328962062893	7.40431502628488	7.36782968495411
Q0075	7.31080402105469	7.74706379542848	6.48420620018256	5.00057934866456	8.60953356329654	4.51940108196817	7.32157848995789	8.26156838520415	6.82098548890909	6.61958431129204	6.66149127128393	5.41854376691355	7.03318353145365	8.48711670829131	5.25938673685826	8.63628283705374	8.60764588947476	8.08994943042256	7.86511417343428	7.62413264099117	7.85173674069907	7.6500110651025
Q0080	4.9538652905616	5.15085519739577	4.95248533590224	4.81200442707171	6.03351672732651	4.98876717848673	5.81135137855719	5.97591849931887	5.77094806323399	5.95121941276824	5.84559602637486	5.10666322858929	6.06723882833049	6.00468291414898	5.21720584556085	6.2634750775266	5.90820656061083	6.5903465359592	6.01741992150953	6.33688864257675	5.31209941461935	6.73704559749962
Q0085	5.44428062455272	5.46016425795058	5.24914589956913	5.81248265450792	6.02675851101064	6.00475952213606	6.05597571118803	5.88940614368403	5.35177182894253	6.16686268253133	5.97525963205224	5.59116449346813	6.36826140751596	6.11216030576176	5.41999204160574	5.99312002480485	6.44189999943809	6.06314455910858	6.59793203524382	6.46735171151152	5.64971955388153	7.05087223577602
Q0092	4.48806931115093	4.46091433175988	4.85207568046355	4.87410921633088	5.00938950235856	4.17024425924861	4.60587420255657	4.73404421059387	6.02683918053861	4.95727233116384	4.97025018668518	4.59265339971589	4.80772335401326	4.86197702991463	4.55175926659009	4.69582684594149	5.39606846056471	5.50585999929179	4.66850694932539	5.10402749875235	4.73708311294814	7.2471843474747
Q0105	4.13577165616759	4.61470167841289	4.24058342866926	4.44677326032948	4.57177926830171	4.06700714996086	4.53528708564062	4.67501487525922	4.85394218898709	4.27227894921217	4.19381598846837	4.53242122416843	4.29594770046234	4.4540021946733	4.37273178658361	4.69277302855038	4.9064525325093	4.24402915017034	4.5181793448258	4.6929313566974	4.3523414181782	5.88016734151661
Q0110	4.07449854529944	4.58699668593929	4.13003680872117	4.29009504411677	4.69275969775783	4.24379693473849	4.39842507105918	4.73694071227804	4.28132780914569	4.08634035388592	4.00141651994412	4.5351209667698	4.0081144364382	4.3765166680692	4.26934152429105	4.83928698759707	5.1032078275426	4.56124163673674	4.49240192510458	4.67920421628625	4.30581315132303	5.61492525617034
Q0115	3.93107437005041	4.55105390392221	4.0565052512784	4.2601617596621	4.54716881849646	4.00684935059175	4.36527438539929	4.56136341523224	4.61895487596703	4.11052854115089	3.99193020005641	4.37426630244956	3.97577888956361	4.34022823333879	4.2888899560561	4.75497802520051	4.98479669657455	4.35575371099082	4.47120295377886	4.67103795259229	4.23374240049733	5.80246868511846
Q0120	4.00840596386326	4.48445628572443	4.08940794176002	4.35998912502175	4.52144113680194	4.02085691490604	4.43171421485245	4.61782145938349	4.70789377890901	4.14917539149052	4.02614582323092	4.35845740602382	4.0869118466179	4.38389349930927	4.3013062778061	4.70092592410117	4.92025149982022	4.28281867345062	4.45756340697325	4.67479795455904	4.26969371268704	5.74171799949435
Q0130	8.420977934377	7.66293063548767	7.96070021624625	7.93784248221425	7.6180362121092	7.50511230252643	7.75391810369865	7.90019244435054	8.11439590336629	9.052036132819	8.76794274298037	7.57164477014901	7.88993174700632	8.12653151895782	8.63897122160025	7.63788777099482	7.83511375139077	8.14590271095489	7.69155748868869	7.8149195987695	7.89672974653456	8.84891070649344
Q0140	4.8633714674323	5.45270640260972	5.06961914075355	5.58094131787515	5.75299086653308	4.97530261696437	4.89283032554885	5.53086345685148	6.30506544220261	5.74886434546155	5.7292574327355	5.23194026054971	5.1866669637314	5.5978411848935	5.89642466017137	5.54606474598993	5.71960322719569	6.11548826342758	7.91158308164283	7.69684904082208	5.73161758397988	6.78381961054228
